J1734-2415;0.612524;126.30;263.673333;-24.255556;3.44;
J1734-3058;0.541286;260.00;263.711829;-30.978167;3.74;
J1734-3333;1.169341;578.00;263.612083;-33.555556;4.46;
J1735-0243;0.782887;55.40;263.950417;-2.730000;1.00;
B1732-07;0.419335;73.51;263.770715;-7.414581;0.21;
J1735-3258;0.350963;754.00;263.987083;-32.971944;4.96;
J1736+05;0.999245;42.00;264.225000;5.800000;2.49;
J1736-2457;2.642223;170.00;264.189333;-24.963889;4.50;
J1736-2819;1.592419;261.00;264.103042;-28.328333;6.03;
J1736-2843;6.445036;331.00;264.177458;-28.730833;10.38;
J1736-3511;0.502803;106.00;264.011250;-35.198889;2.63;
J1737-0811;0.004175;55.31;264.446301;-8.185802;0.21;
J1737-3102;0.768672;280.00;264.390542;-31.033472;3.60;
J1737-3137;0.450432;488.20;264.267875;-31.622500;4.16;
J1737-3320;0.816273;804.00;264.293792;-33.338889;13.29;
B1734-35;0.397585;89.41;264.416829;-35.928833;2.49;
J1738+0333;0.005850;33.77;264.724858;3.553019;1.51;
J1738+04;1.391790;23.60;264.604167;4.333333;1.08;
J1738-2330;1.978847;99.30;264.536667;-23.513056;2.87;
J1738-2647;0.349591;182.20;264.520958;-26.796111;4.13;
J1738-2736;0.627716;323.60;264.560950;-27.607167;11.98;
J1738-2955;0.443398;223.40;264.717667;-29.930833;3.46;
J1738-3107;0.549498;735.00;264.697500;-31.128889;4.79;
B1735-32;0.768499;49.59;264.725772;-32.198235;1.27;
J1738-3316;0.730373;273.00;264.643542;-33.267111;3.75;
J1739+0612;0.234169;101.50;264.824858;6.207889;25.00;
J1739-1313;1.215698;58.20;264.990921;-13.221833;0.73;
J1739-2521;1.818461;186.40;264.885954;-25.365556;4.41;
B1736-29;0.322882;138.56;264.892825;-29.050967;2.91;
J1739-3023;0.114368;170.00;264.915833;-30.386667;3.07;
J1739-3049;0.239317;573.20;264.846750;-30.827778;4.38;
B1736-31;0.529441;600.10;264.851267;-31.520916;4.41;
J1739-3159;0.877561;337.00;264.952833;-31.996944;3.80;
J1739-3951;0.341772;24.60;264.909375;-39.866750;0.78;
J1740+1000;0.154087;23.90;265.108125;10.001750;1.23;
B1737+13;0.803050;48.67;265.030606;13.199081;4.18;
J1740-2540;1.692656;333.00;265.188833;-25.671944;15.04;
B1737-30;0.606887;152.15;265.140917;-30.262083;2.94;
J1740-3052;0.570313;738.78;265.208338;-30.867861;4.75;
J1740-3327;0.515001;274.10;265.107167;-33.464861;4.20;
J1740-5340A;0.003650;71.80;265.185788;-53.678028;3.14;
B1738-08;2.043082;74.90;265.343982;-8.675506;0.22;
J1741+1351;0.003747;24.20;265.379770;13.862256;1.36;
J1741-2019;3.904506;74.90;265.278625;-20.323333;2.55;
J1741-2054;0.413700;4.70;265.488667;-20.903278;0.27;
J1741-2719;0.346797;361.90;265.396083;-27.323056;11.51;
J1741-2733;0.892959;149.20;265.255583;-27.564167;3.07;
J1741+2758;1.360738;29.14;265.472958;27.969167;2.52;
J1741-2945;0.223558;310.30;265.310292;-29.759722;3.71;
J1741-3016;1.893749;382.00;265.279333;-30.275278;3.87;
J1741-34;0.875137;241.00;265.475000;-34.316667;4.56;
B1737-39;0.512211;158.50;265.325337;-39.460556;4.62;
J1742-3957;1.016349;186.00;265.518458;-39.956111;8.05;
J1742-4616;0.412401;115.96;265.608750;-46.281528;5.69;
B1740-03;0.444645;30.26;265.784105;-3.653189;0.20;
J1743+05;1.473630;56.10;265.816667;5.483333;3.95;
B1740-13;0.405337;116.30;265.906759;-13.860546;3.50;
J1743-2442;1.242508;239.00;265.833833;-24.715278;6.49;
B1740-31;2.414576;193.05;265.902857;-31.839360;3.33;
J1743-3153;0.193105;505.70;265.814854;-31.884806;8.86;
J1743-35;0.569980;174.00;265.775000;-35.533333;4.01;
J1743-4212;0.306167;131.94;265.771763;-42.200667;5.01;
J1744-1134;0.004075;3.14;266.122524;-11.581856;0.15;
J1744-1610;1.757206;66.67;266.068892;-16.176611;1.92;
J1744-2335;1.683507;96.66;266.201958;-23.598611;2.72;
J1744-3130;1.066061;192.90;266.023675;-31.501111;3.30;
J1744-3922;0.172444;148.10;266.011146;-39.372528;4.54;
J1744-5337;0.355666;108.85;266.162167;-53.630833;10.00;
J1745-0129;1.045407;90.10;266.258583;-1.488361;5.49;
J1745-0952;0.019376;64.47;266.288062;-9.877689;0.23;
J1745+1017;0.002652;23.97;266.390988;10.297923;1.21;
J1745-2229;1.160593;299.00;266.319625;-22.487222;15.55;
J1745-2900;3.763733;1778.00;266.417359;-29.008304;8.29;
J1745-2910;0.982000;1088.00;266.316667;-29.166667;7.97;
J1745-2912;0.187379;1130.00;266.458333;-29.200000;8.11;
B1742-30;0.367432;88.37;266.484636;-30.673108;2.34;
J1745-3812;0.698353;160.80;266.314250;-38.202028;4.80;
J1746+2245;3.465038;49.85;266.503500;22.758028;6.83;
J1746+2540;1.058148;51.20;266.528625;25.677083;25.00;
J1746-27;0.487528;422.00;266.500000;-27.850000;4.15;
J1746-2849;1.478480;1456.00;266.515417;-28.821944;8.22;
J1746-2850;1.077101;962.70;266.527500;-28.845000;5.61;
J1746-2856;0.945224;1168.00;266.706250;-28.941944;8.15;
J1746-3239;0.199541;*;266.728946;-32.665500;*;
J1747-1030;1.578793;128.00;266.992958;-10.501389;2.51;
J1747-2647;0.500254;570.00;266.878725;-26.787222;6.19;
J1747-2802;2.780079;835.00;266.860625;-28.043611;5.15;
J1747-2809;0.052153;1133.00;266.845000;-28.154167;8.15;
J1747-2958;0.098814;101.50;266.816175;-29.966944;2.52;
J1747-4036;0.001646;152.98;266.952986;-40.615217;7.15;
B1745-12;0.394133;99.36;267.072532;-13.014468;2.40;
B1745-20A;0.288603;219.40;267.219538;-20.361028;8.55;
J1748-2021B;0.016760;220.92;267.220637;-20.360794;8.70;
J1748-2021C;0.006227;226.95;267.213222;-20.364947;9.30;
J1748-2021D;0.013496;224.98;267.215194;-20.352059;9.14;
J1748-2021E;0.016264;224.10;267.220002;-20.358161;9.02;
J1748-2021F;0.003794;220.43;267.218058;-20.360925;8.65;
J1748-2444;0.442838;207.33;267.202135;-24.743601;3.84;
B1744-24A;0.011563;242.15;267.009396;-24.776917;4.44;
J1748-2446aa;0.005788;237.42;267.020000;-24.779167;4.39;
J1748-2446ab;0.005120;238.34;267.020000;-24.779167;4.40;
J1748-2446ac;0.005087;238.72;267.020000;-24.779167;4.40;
J1748-2446ad;0.001396;235.60;267.020000;-24.779167;4.37;
J1748-2446ae;0.003659;238.75;267.020000;-24.779167;4.40;
J1748-2446af;0.003304;237.34;267.020000;-24.779167;4.39;
J1748-2446ag;0.004448;237.75;267.020000;-24.779167;4.39;
J1748-2446ah;0.004965;237.75;267.020000;-24.779167;4.39;
J1748-2446ai;0.021228;233.90;267.020000;-24.779167;4.36;
J1748-2446C;0.008436;237.00;267.018917;-24.776667;4.39;
J1748-2446D;0.004714;243.83;267.020000;-24.779167;4.45;
J1748-2446E;0.002198;236.84;267.020000;-24.779167;4.38;
J1748-2446F;0.005540;239.18;267.020000;-24.779167;4.41;
J1748-2446G;0.021672;237.57;267.020000;-24.779167;4.39;
J1748-2446H;0.004926;238.13;267.020000;-24.779167;4.40;
J1748-2446I;0.009570;238.73;267.020000;-24.779167;4.40;
J1748-2446J;0.080338;234.35;267.020000;-24.779167;4.36;
J1748-2446K;0.002970;234.81;267.020000;-24.779167;4.36;
J1748-2446L;0.002245;237.74;267.020000;-24.779167;4.39;
J1748-2446M;0.003570;238.65;267.020000;-24.779167;4.40;
J1748-2446N;0.008667;238.47;267.020000;-24.779167;4.40;
J1748-2446O;0.001677;236.38;267.020000;-24.779167;4.38;
J1748-2446P;0.001729;238.79;267.020000;-24.779167;4.40;
J1748-2446Q;0.002812;234.50;267.020000;-24.779167;4.36;
J1748-2446R;0.005029;237.60;267.020000;-24.779167;4.39;
J1748-2446S;0.006117;236.26;267.020000;-24.779167;4.38;
J1748-2446T;0.007085;237.70;267.020000;-24.779167;4.39;
J1748-2446U;0.003289;235.50;267.020000;-24.779167;4.37;
J1748-2446V;0.002073;239.11;267.020000;-24.779167;4.41;
J1748-2446W;0.004205;239.14;267.020000;-24.779167;4.41;
J1748-2446X;0.002999;240.03;267.020000;-24.779167;4.41;
J1748-2446Y;0.002048;239.11;267.020000;-24.779167;4.41;
J1748-2446Z;0.002463;238.85;267.020000;-24.779167;4.40;
J1748-30;0.382735;584.00;267.000000;-30.283333;13.82;
J1748-3009;0.009684;420.20;267.099125;-30.153389;5.07;
J1749+16;2.311650;59.60;267.370833;16.400000;7.38;
J1749-2347;0.874486;344.00;267.315042;-23.788056;12.66;
J1749-2629;1.335388;409.00;267.297000;-26.486111;4.19;
B1746-30;0.609874;509.40;267.306221;-30.043034;12.69;
J1749-4931;0.445822;55.29;267.349042;-49.533056;1.80;
B1745-56;1.332310;58.00;267.435417;-56.088611;2.49;
J1750+07;1.908810;55.40;267.666667;7.550000;3.75;
J1750-2043;5.639047;239.00;267.576667;-20.718889;8.84;
J1750-2438;0.712794;476.00;267.749113;-24.649444;12.90;
J1750-2444;0.899377;331.00;267.595667;-24.746389;4.88;
J1750-2536;0.034749;178.40;267.639125;-25.611944;3.22;
J1750-28;1.300513;388.00;267.516667;-28.750000;4.07;
B1747-31;0.910363;206.34;267.697161;-31.962261;4.34;
J1750-3503;0.684014;189.35;267.685421;-35.052472;5.86;
J1750-3703A;0.111601;233.82;267.557507;-37.053042;13.53;
J1750-3703B;0.006075;234.39;267.550738;-37.056369;13.61;
J1750-3703C;0.026569;230.67;267.556059;-37.051550;13.10;
J1750-3703D;0.005140;230.09;267.554570;-37.051769;13.02;
J1751-2516;0.394836;556.00;267.969292;-25.278611;5.17;
J1751-2857;0.003915;42.84;267.886222;-28.962922;1.09;
J1751-3323;0.548227;296.70;267.886354;-33.394333;14.27;
B1747-46;0.742352;20.40;267.925971;-46.956889;0.74;
J1752+2359;0.409051;36.20;268.147583;23.996722;3.03;
J1752-2410;0.191037;508.30;268.244758;-24.173889;12.41;
B1749-28;0.562558;50.37;268.244540;-28.110361;1.34;
J1752-2821;0.640229;516.30;268.102292;-28.352778;5.48;
J1753-12;0.405454;73.20;268.220833;-12.983333;1.12;
J1753-1914;0.062955;105.30;268.396546;-19.249444;2.91;
J1753-2240;0.095138;158.60;268.416029;-22.678333;3.23;
B1750-24;0.528336;672.00;268.377579;-25.006998;5.30;
J1753-38;0.666804;168.00;268.250000;-38.816667;8.87;
J1754-2422;2.090248;738.00;268.652333;-24.373333;11.16;
J1754-3014;1.320490;89.70;268.625754;-30.250833;2.52;
J1754-3443;0.361691;187.70;268.655717;-34.731639;7.11;
J1754-3510;0.392704;82.30;268.727567;-35.178611;2.57;
B1753+52;2.391397;35.01;268.595536;52.020071;4.17;
J1755-0903;0.190710;63.70;268.793183;-9.064333;0.23;
J1755-1650;0.733744;159.90;268.798533;-16.844722;4.62;
J1755-2025;0.322231;364.30;268.899171;-20.416667;15.99;
J1755-25;0.315196;751.00;268.900000;-25.883333;4.91;
J1755-2521;1.175968;252.00;268.998792;-25.357500;3.44;
J1755-25211;1.004513;835.00;268.830458;-25.352500;5.05;
J1755-2534;0.233541;590.00;268.957583;-25.577500;4.40;
J1755-26;0.430872;405.00;268.817875;-26.000000;3.95;
J1755-2725;0.261955;115.00;268.924500;-27.429167;2.70;
J1755-33;0.959466;266.50;268.800000;-33.516667;14.08;
J1755-3716;0.012786;167.60;268.897693;-37.269661;8.18;
J1756+18;0.744000;77.00;269.000000;18.316667;25.00;
J1756-2225;0.404980;326.00;269.106500;-22.430000;4.75;
J1756-2251;0.028462;121.20;269.194308;-22.866486;2.81;
B1753-24;0.670480;367.10;269.241306;-24.592864;3.83;
J1756-25;0.855986;706.00;269.175000;-25.466667;4.77;
J1756-2619;0.724514;534.00;269.330792;-26.318889;5.11;
J1757-15;0.179400;150.00;269.350000;-15.055000;4.17;
J1757-2223;0.185310;239.30;269.461550;-22.396944;3.73;
B1754-24;0.234106;179.45;269.372182;-24.368735;3.12;
J1757-27;0.017687;334.00;269.478313;-27.750000;8.12;
J1757-5322;0.008870;30.82;269.313173;-53.373996;0.94;
J1758-1931;0.692552;207.00;269.523333;-19.528056;4.54;
J1758-2206;0.430278;678.00;269.685208;-22.112500;14.98;
J1758-2540;2.107263;218.20;269.633083;-25.680278;3.41;
J1758-2630;1.202893;328.00;269.642792;-26.502778;4.36;
J1758-2846;0.766706;66.60;269.564208;-28.767222;2.01;
J1758+3030;0.947256;35.07;269.607833;30.506667;3.28;
J1759-1029;2.512263;110.00;269.892917;-10.499167;2.24;
J1759-1736;0.798452;206.00;269.867333;-17.602778;4.92;
J1759-1903;0.731505;467.00;269.924000;-19.055278;21.81;
J1759-1940;0.254720;302.70;269.987667;-19.674722;7.98;
J1759-1956;2.843389;236.40;269.897583;-19.935556;4.62;
B1756-22;0.460974;177.16;269.850654;-22.092509;3.26;
J1759-2302;0.810718;889.00;269.955125;-23.035556;5.80;
J1759-2307;0.558889;812.60;269.878938;-23.121389;5.33;
J1759-24;1.457739;772.00;269.850000;-24.033333;4.87;
J1759-2549;0.956549;431.00;269.896333;-25.818611;4.91;
J1759-2922;0.574400;79.42;269.951025;-29.368674;2.42;
J1759-3107;1.078953;128.60;269.841900;-31.122639;3.10;
J1800-0125;0.783185;50.00;270.092000;-1.425167;1.48;
J1800-2114;1.799272;641.00;270.051250;-21.238611;16.09;
B1757-23;1.030820;280.00;270.000000;-23.716667;3.56;
J1800+50;0.578364;23.00;270.250000;50.466667;1.97;
B1758-03;0.921491;120.37;270.344418;-3.965285;5.75;
J1801-0857A;0.007176;182.56;270.460885;-8.958847;6.68;
J1801-0857B;0.028962;182.39;270.460691;-8.959114;6.66;
J1801-0857C;0.003739;182.26;270.461420;-8.959083;6.65;
J1801-0857D;0.004227;174.71;270.480689;-8.956758;5.86;
J1801-1417;0.003625;57.26;270.462806;-14.292924;1.10;
J1801-1855;2.550498;484.00;270.342917;-18.930278;20.10;
J1801-1909;1.108725;264.00;270.444542;-19.160000;4.90;
J1801-2115;0.438113;778.80;270.385375;-21.255000;14.79;
J1801-2154;0.375297;387.90;270.284708;-21.908889;4.14;
B1758-23;0.415827;1073.90;270.332621;-23.078944;6.52;
B1757-24;0.124924;289.00;270.250067;-24.857639;3.79;
B1758-29;1.081908;125.61;270.445150;-29.344048;3.01;
J1801-3210;0.007454;177.71;270.357873;-32.181587;6.12;
J1801-3458;1.385604;146.00;270.469417;-34.976944;5.91;
J1802+0128;0.554262;97.97;270.614375;1.473250;7.68;
J1802+03;0.664300;77.00;270.683333;3.633333;5.10;
J1802-05;1.681000;130.00;270.550000;-5.398056;4.91;
J1802-1745;0.514671;264.20;270.561875;-17.754722;6.61;
J1802-2124;0.012648;149.63;270.522232;-21.401014;3.03;
J1802-2426;0.569007;711.00;270.512917;-24.445278;12.96;
J1802-3346;2.461052;217.00;270.730000;-33.779167;13.68;
J1803-1616;0.536596;388.10;270.894500;-16.275000;19.06;
J1803-1857;2.864338;392.00;270.996083;-18.955278;10.81;
J1803-1920;0.443649;436.10;270.872667;-19.344722;12.55;
B1800-21;0.133667;233.99;270.964210;-21.618709;3.42;
J1803-2149;0.106332;*;270.790133;-21.820278;*;
B1800-27;0.334415;165.50;270.882053;-27.201774;3.46;
J1803-3002A;0.007101;192.00;270.892083;-30.033889;5.76;
J1803-3002B;0.004397;192.60;270.892083;-30.033889;5.82;
J1803-3002C;0.005840;194.50;270.892083;-30.033889;5.99;
J1803-3329;0.633412;170.90;270.935221;-33.486306;7.82;
B1802-07;0.023101;186.32;271.207898;-7.590193;8.15;
J1804-2228;0.570511;424.00;271.117458;-22.471667;4.06;
J1804-2717;0.009343;24.67;271.088055;-27.292037;0.80;
J1804-28;1.273011;203.50;271.200000;-28.116667;4.78;
B1802+03;0.218712;80.86;271.292311;3.108409;5.26;
J1805+06;0.002130;65.00;271.479167;6.233333;3.88;
J1805-0619;0.454651;146.22;271.380983;-6.329278;5.34;
J1805-1504;1.181269;225.00;271.275417;-15.076667;5.40;
J1805-2032;0.405769;932.30;271.404542;-20.547500;6.64;
J1805-2037;0.357807;708.10;271.367458;-20.621111;4.99;
J1805-2447;0.661402;269.00;271.358042;-24.791667;4.57;
J1805-2948;0.428341;167.90;271.427042;-29.800000;4.59;
J1806+1023;0.484286;52.03;271.717142;10.388417;2.95;
B1804-12;0.522618;122.41;271.528297;-11.907985;3.00;
J1806-1618;0.668309;319.00;271.607417;-16.310556;10.14;
J1806-1920;0.879791;683.00;271.527500;-19.339722;12.76;
J1806-2125;0.481789;750.40;271.581625;-21.427778;4.88;
J1807+04;0.798900;53.00;271.854167;4.083333;2.39;
J1807+0756;0.464300;89.29;271.963479;7.945386;7.94;
B1804-08;0.163727;112.38;271.908448;-8.795353;2.70;
J1807-2459A;0.003059;134.00;271.834815;-24.998028;3.01;
J1807-2459B;0.004186;137.15;271.836963;-25.000532;3.05;
J1807-2557;2.764195;385.00;271.806917;-25.955556;18.58;
B1804-27;0.827776;312.98;271.785396;-27.250823;15.38;
J1808+00;0.425115;141.00;272.079167;0.566667;17.90;
J1808-0813;0.876044;151.27;272.039302;-8.217166;3.97;
J1808-1020;0.596993;225.30;272.190142;-10.346750;8.08;
J1808-1517;0.544549;205.00;272.162875;-15.294444;4.31;
J1808-1726;0.241035;536.00;272.176250;-17.440833;14.17;
J1808-2024;7.555920;*;272.163904;-20.411069;*;
B1805-20;0.918410;606.80;272.026652;-20.968757;4.58;
J1808-2701;2.457882;95.00;272.055125;-27.022500;2.71;
J1808-3249;0.364912;147.37;272.018667;-32.826111;6.27;
J1809-0119;0.744976;140.00;272.464000;-1.324722;11.09;
J1809-0743;0.313886;240.70;272.399667;-7.717056;13.99;
J1809-1429;0.895285;411.30;272.439625;-14.490278;17.12;
J1809-1850;1.124481;598.00;272.405042;-18.848611;4.67;
J1809-1917;0.082747;197.10;272.429779;-19.293917;3.27;
J1809-1943;5.540743;178.00;272.462862;-19.731092;3.15;
J1809-2004;0.434811;867.10;272.316125;-20.070000;5.23;
B1806-21;0.702414;381.91;272.309706;-21.150799;4.12;
J1809-2332;0.146789;*;272.459375;-23.539633;*;
J1809-3547;0.860388;193.84;272.362417;-35.788333;22.64;
J1810-1441;0.217214;304.90;272.746508;-14.692667;6.73;
J1810+1744;0.001660;39.70;272.655333;17.743717;2.36;
J1810-1820;0.153716;452.20;272.731333;-18.344167;4.24;
J1810-2005;0.032822;241.00;272.745800;-20.085631;3.51;
B1806-53;0.261049;45.00;272.685125;-53.635472;1.65;
J1811-0154;0.924945;148.10;272.832833;-1.908583;11.11;
J1811+0702;0.461713;57.80;272.835083;7.041583;2.96;
J1811-1049;2.623859;253.30;272.821125;-10.817500;8.67;
J1811-1717;0.391385;545.50;272.860542;-17.296389;5.20;
J1811-1736;0.104182;476.00;272.979308;-17.610472;4.43;
J1811-1835;0.557464;761.00;272.873833;-18.595556;4.93;
J1811-1925;0.064667;*;272.871667;-19.424444;*;
J1811-2405;0.002661;60.60;272.832721;-24.088435;1.83;
J1811-2439;0.415813;172.00;272.981375;-24.664722;3.94;
J1811-4930;1.432704;44.00;272.863292;-49.505778;1.45;
B1810+02;0.793903;104.14;273.221616;2.449201;7.20;
B1809-173;1.205374;255.10;273.030036;-17.308187;3.68;
B1809-176;0.538341;518.00;273.066221;-17.560410;4.52;
J1812-1910;0.430991;892.00;273.145375;-19.177500;5.95;
J1812-2102;1.223352;547.20;273.087208;-21.043333;14.42;
J1812-2526;0.315835;361.40;273.134583;-25.443889;22.26;
J1812-2748;0.236983;104.00;273.169083;-27.800833;2.94;
J1812-3039;0.587477;138.90;273.187092;-30.655833;5.23;
J1813-1246;0.048072;*;273.349042;-12.766444;*;
J1813-1749;0.044699;*;273.396525;-17.832633;*;
J1813+1822;0.336425;60.80;273.411500;18.370833;4.99;
J1813-2113;0.426466;462.30;273.416125;-21.216778;15.02;
J1813-2242;0.328514;333.00;273.371500;-22.701667;12.48;
J1813-2621;0.004430;112.52;273.419132;-26.365849;3.01;
B1811+40;0.931089;41.56;273.305338;40.227509;4.92;
J1814-0521;1.014219;130.00;273.608875;-5.360278;4.18;
J1814-0618;1.377868;168.00;273.671917;-6.300472;5.99;
J1814+1130;0.751261;65.00;273.678092;11.512208;4.15;
J1814-1649;0.957464;782.00;273.655625;-16.824444;5.21;
J1814-1744;3.975905;792.00;273.679583;-17.746667;5.04;
J1815-1738;0.198436;728.00;273.811133;-17.634167;4.89;
J1815-1910;1.249924;547.80;273.762833;-19.166778;6.08;
J1815+55;0.426802;59.00;273.750000;55.483333;25.00;
J1816-0755;0.217643;116.80;274.102262;-7.922917;3.13;
J1816-1446;0.594500;629.00;274.121625;-14.775000;10.13;
B1813-17;0.782313;525.50;274.077759;-17.484085;4.44;
B1813-26;0.592885;128.12;274.147510;-26.831526;3.59;
J1816+4510;0.003193;38.89;274.149726;45.176073;4.36;
J1816-5643;0.217923;52.40;274.151933;-56.728361;2.58;
J1817-0743;0.438095;14.80;274.457458;-7.721917;0.20;
J1817-1511;0.224604;970.00;274.400833;-15.194167;7.32;
J1817-1938;2.046838;519.60;274.278417;-19.643333;17.07;
B1814-23;0.625470;240.00;274.250000;-23.183333;7.93;
B1813-36;0.387017;94.30;274.274071;-36.301111;4.40;
J1817-3837;0.384487;102.85;274.251125;-38.633250;6.09;
J1818-01;0.838500;210.00;274.562500;-1.817222;19.78;
J1818-1116;0.544800;422.00;274.610208;-11.274722;13.03;
B1815-14;0.291489;622.00;274.599025;-14.376864;5.46;
J1818-1448;0.281371;644.00;274.616292;-14.810556;5.00;
J1818-1519;0.939690;845.00;274.560833;-15.328611;5.36;
J1818-1541;0.551134;690.00;274.656333;-15.695833;4.79;
J1818-1556;0.952709;230.00;274.716458;-15.934444;3.46;
J1819-0925;0.852047;378.00;274.960592;-9.430528;13.82;
J1819-1008;0.301490;404.00;274.916608;-10.141111;13.56;
J1819-1114;0.294163;310.00;274.869917;-11.245278;5.80;
J1819-1131;1.388137;578.00;274.992292;-11.524722;16.40;
J1819+1305;1.060364;64.81;274.984275;13.087569;4.05;
J1819-1318;1.515696;35.10;274.931917;-13.311667;0.81;
J1819-1408;1.788490;1075.00;274.986667;-14.133778;8.88;
J1819-1458;4.263164;196.00;274.892387;-14.967658;3.30;
J1819-1510;0.226539;421.70;274.973712;-15.172389;4.13;
J1819-17;2.352135;67.00;274.875000;-17.083333;1.88;
J1819-1717;0.393522;405.00;274.930833;-17.287778;4.80;
B1818-04;0.598076;84.44;275.219200;-4.460590;2.92;
J1820-0509;0.337321;104.00;275.094700;-5.160694;3.33;
B1817-13;0.921460;776.70;275.082331;-13.770910;5.89;
J1820-1529;0.333243;772.00;275.170083;-15.497222;5.21;
B1817-18;0.309905;436.00;275.162865;-18.300905;14.04;
J1821+0155;0.033781;51.75;275.412015;1.922776;1.72;
J1821-0256;0.414111;84.00;275.292958;-2.944056;3.16;
J1821-0331;0.902316;171.50;275.436250;-3.520194;7.56;
J1821-1419;1.656010;1123.00;275.392917;-14.323889;6.13;
J1821-1432;1.915131;570.00;275.415737;-14.548111;4.54;
J1821+1715;1.366682;60.28;275.306262;17.263072;4.14;
J1821+41;1.261787;40.00;275.500000;41.750000;4.29;
J1822+0705;1.362817;62.20;275.576841;7.088617;2.87;
J1822-0848;2.504518;186.30;275.716083;-8.816389;3.83;
J1822-0907;0.974700;467.00;275.665833;-9.126667;16.07;
J1822+1120;1.787037;95.20;275.560833;11.348944;7.77;
J1822-1252;2.071040;925.00;275.673750;-12.880278;6.38;
B1820-14;0.214771;651.10;275.725178;-14.000667;4.76;
J1822-1604;8.437721;*;275.575000;-16.074111;*;
J1822-1617;0.831156;647.00;275.652500;-16.293056;14.89;
B1819-22;1.874269;121.20;275.745642;-22.941836;3.26;
J1822-4209;0.456512;72.51;275.547317;-42.153050;3.69;
J1823-0154;0.759777;135.87;275.967275;-1.901270;5.28;
B1821+05;0.752907;66.78;275.879055;5.840086;3.09;
B1820-11;0.279829;428.59;275.917945;-11.253135;5.39;
J1823-1126;1.846534;607.00;275.832750;-11.434444;9.14;
J1823-1347;0.617107;1044.00;275.851042;-13.798333;5.87;
J1823-1526;1.625405;611.00;275.839250;-15.439444;8.24;
J1823-1807;1.636792;330.00;275.790333;-18.125833;10.12;
B1820-30A;0.005440;86.88;275.918696;-30.361146;3.14;
B1820-30B;0.378596;87.01;275.923106;-30.361372;3.15;
J1823-3021C;0.405936;86.88;275.921465;-30.360681;3.15;
J1823-3021D;0.003020;86.80;275.918880;-30.362128;3.14;
J1823-3021E;0.004394;91.40;275.918750;-30.361167;3.37;
J1823-3021F;0.004850;86.70;275.918750;-30.361167;3.14;
B1820-31;0.284054;50.24;275.944952;-31.113820;1.59;
J1824-0127;2.499468;58.00;276.222625;-1.464278;1.87;
J1824+10;0.004070;60.00;276.020833;10.283333;2.93;
B1821-11;0.435759;603.00;276.123079;-11.311837;6.01;
J1824-1159;0.362492;463.40;276.233963;-11.998167;4.46;
J1824-1350;1.396599;551.00;276.209088;-13.839167;4.70;
J1824-1423;0.359394;428.30;276.239113;-14.384806;4.56;
J1824-1500;0.412230;571.00;276.058750;-15.009167;6.04;
B1821-19;0.189335;224.65;276.001898;-19.764366;5.63;
J1824-2233;1.161743;156.50;276.043000;-22.553056;4.60;
J1824-2328;1.505875;185.00;276.119333;-23.471389;7.86;
B1821-24A;0.003054;119.89;276.133366;-24.869676;3.70;
J1824-2452B;0.006547;119.50;276.136708;-24.869778;3.68;
J1824-2452C;0.004159;120.70;276.136708;-24.869778;3.75;
J1824-2452D;0.079832;119.50;276.136708;-24.869778;3.68;
J1824-2452E;0.005420;119.80;276.136708;-24.869778;3.70;
J1824-2452F;0.002451;123.80;276.136708;-24.869778;3.95;
J1824-2452G;0.005909;119.40;276.136708;-24.869778;3.68;
J1824-2452H;0.004629;121.50;276.136708;-24.869778;3.80;
J1824-2452I;0.003932;119.00;276.135542;-24.869056;3.65;
J1824-2452J;0.004039;119.20;276.136708;-24.869778;3.66;
J1824-2452K;0.004461;119.80;276.136708;-24.869778;3.70;
J1824-2452L;0.004100;119.00;276.136708;-24.869778;3.65;
J1824-2537;0.223320;158.50;276.127446;-25.621944;7.30;
B1822+00;0.778949;56.62;276.313852;0.072139;1.86;
J1825-0319;0.004554;119.50;276.483138;-3.332658;3.86;
B1822-09;0.769006;19.38;276.377621;-9.589528;0.26;
J1825-1108;1.925872;121.00;276.326250;-11.148333;2.75;
B1822-14;0.279187;357.00;276.262197;-14.781279;4.47;
J1825-31;2.382000;120.00;276.491667;-31.038889;6.83;
J1825-33;1.271200;43.20;276.508333;-33.350000;1.24;
B1823-11;2.093136;320.58;276.522803;-11.528785;3.97;
J1826-1256;0.110224;*;276.535542;-12.942500;*;
B1823-13;0.101487;231.00;276.554896;-13.579667;3.61;
J1826-1419;0.770620;160.00;276.676629;-14.322667;3.24;
J1826-1526;0.382073;530.00;276.552500;-15.434167;14.86;
J1827-0750;0.270502;381.00;276.761396;-7.838667;9.98;
J1827-0934;0.512548;259.20;276.941183;-9.571222;4.07;
B1824-10;0.245757;430.00;276.772831;-9.978641;5.04;
J1827-1446;0.499187;*;276.852500;-14.774444;*;
J1828-0611;0.269415;363.20;277.086313;-6.197639;12.12;
J1828+0625;0.003630;22.40;277.116792;6.416806;1.00;
J1828-1007;0.153197;302.60;277.126483;-10.119472;4.01;
J1828-1057;0.246328;245.00;277.138375;-10.957222;3.63;
J1828-1101;0.072052;607.40;277.078538;-11.030806;4.77;
J1828-1336;0.860332;494.70;277.178542;-13.612500;7.87;
J1828+1359;0.741640;56.00;277.222242;13.993156;2.75;
J1828-2119;0.514523;268.00;277.089833;-21.332222;17.93;
