B0853-33;1.267536;86.64;133.910056;-33.527584;0.50;
J0855-4644;0.064686;238.20;133.900750;-46.737056;5.71;
J0855-4658;0.575072;472.70;133.831542;-46.972944;13.74;
B0855-61;0.962509;95.00;134.247125;-61.631472;0.37;
J0857-4424;0.326774;184.43;134.479829;-44.402867;2.83;
J0900-3144;0.011110;75.71;135.183138;-31.741915;25.00;
J0901-4624;0.441995;198.80;135.417167;-46.413472;3.00;
B0901-63;0.660313;76.00;135.635000;-63.420000;0.36;
B0903-42;0.965171;145.80;136.246667;-42.770556;0.68;
B0904-74;0.549553;51.10;136.045000;-74.995222;1.05;
J0905-4536;0.988281;179.70;136.349583;-45.614722;1.96;
J0905-5127;0.346287;196.43;136.466342;-51.463531;1.33;
J0905-6019;0.340854;91.40;136.313521;-60.322794;0.36;
B0905-51;0.253556;103.72;136.816250;-51.966458;0.34;
B0906-17;0.401626;15.88;137.159092;-17.660464;0.80;
B0906-49;0.106755;180.37;137.148042;-49.218472;1.02;
B0909-71;1.362890;54.30;137.400000;-72.202333;0.75;
B0904+77;1.579050;*;137.500000;77.466667;*;
J0912-3851;1.526085;71.50;138.177917;-38.850833;0.34;
J0919-42;0.812600;57.80;139.750000;-42.000000;0.34;
J0919-6040;1.216976;82.50;139.866125;-60.680667;0.36;
B0917+63;1.567994;13.15;140.308897;62.903864;1.00;
B0919+06;0.430627;27.30;140.558425;6.639806;1.91;
J0922-4949;0.950289;237.10;140.562337;-49.820022;2.70;
J0922-52;0.009680;122.40;140.500000;-52.000000;0.35;
J0923-31;*;72.00;140.991667;-31.950000;0.38;
B0922-52;0.746295;152.90;141.036208;-53.045611;0.51;
B0923-58;0.739501;57.40;141.129167;-58.235111;0.11;
J0927+23;0.761886;23.00;141.904167;23.783333;1.78;
J0928+06;2.060400;50.00;142.183333;6.233333;25.00;
J0928+30;2.091900;22.00;142.179167;30.616667;2.04;
J0931-1902;0.004638;41.49;142.829658;-19.048615;3.72;
J0932-3217;1.931627;102.10;143.163125;-32.287278;0.41;
J0932-5327;4.392159;122.00;143.095250;-53.453056;0.36;
J0934-4154;0.570409;113.79;143.742500;-41.905417;0.53;
B0932-52;1.444773;100.00;143.617917;-52.824222;0.35;
J0940-5428;0.087545;134.50;145.242583;-54.477944;0.38;
J0941-39;0.586778;78.20;145.408333;-39.683333;0.36;
J0941-5244;0.658558;157.94;145.421446;-52.734578;0.40;
B0940-55;0.664367;180.20;145.565958;-55.881194;0.41;
B0941-56;0.808127;159.74;145.726925;-56.962067;0.41;
B0940+16;1.087418;20.34;145.875417;16.526944;1.49;
J0943+22;0.532913;27.27;145.854167;22.933333;3.56;
J0943+41;2.229489;21.00;145.750000;41.150000;2.53;
B0942-13;0.570264;12.50;146.120650;-13.911564;0.69;
J0945-4833;0.331586;98.10;146.409392;-48.554028;0.35;
B0943+10;1.097706;15.32;146.531667;9.865278;0.89;
J0947+27;0.851050;28.89;146.841667;27.700000;25.00;
J0949-6902;0.640016;93.00;147.335696;-69.044889;1.68;
J0952-0607;0.001414;22.41;148.034662;-6.123192;1.74;
B0950-38;1.373815;167.00;148.071667;-38.652833;0.53;
B0950+08;0.253065;2.97;148.288790;7.926597;0.19;
J0954-5430;0.472834;200.30;148.525167;-54.514861;0.43;
B0953-52;0.862118;156.90;148.872917;-53.071306;0.40;
J0955-61;0.001999;160.70;148.750000;-61.800000;2.17;
J0957-06;1.723700;26.95;149.250000;-6.283333;2.46;
J0957-5432;0.203557;226.10;149.483375;-54.534417;0.45;
B0957-47;0.670086;92.70;149.859417;-48.163194;0.36;
J1000-5149;0.255677;72.80;150.117254;-51.832811;0.13;
